Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Typea,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Gasoline On-Road b,5.8,5.6,5.6,5.5,5.4,5.3,5.2,5.0,4.8,4.1,3.8,3.5,3.2,2.9,2.7,2.4,2.3,2.1,1.9,1.8,1.7,1.7,1.5,1.4,1.3,1.2,1.1,1.0,0.9,1.0,0.8,0.8,0.7
Passenger Cars,3.8,3.5,3.4,3.3,3.2,3.1,2.9,2.8,2.6,2.3,2.1,1.9,1.7,1.5,1.4,1.2,1.1,1.0,0.9,0.9,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2
Light-Duty Trucks,1.5,1.5,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.5,1.4,1.3,1.3,1.2,1.2,1.0,1.0,1.0,0.9,0.9,0.8,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.6,0.5,0.5,0.5
Medium- and Heavy-Duty Trucks and Buses,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Motorcycles,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Diesel On-Road b,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Medium- and Heavy-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Medium- and Heavy-Duty Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Alternative Fuel On-Road,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+
Non-Road c,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.8,1.8,1.7,1.7,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.7
Ships and Boats,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5
Rail d,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Aircraft,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Agricultural Equipmente,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
